Id,LineName,StationName,DistrictName,StationSize,Escalator_Cnt,Elevator_Cnt
1,M1,YENİKAPI,FATİH,2500,8,2
2,M1,AKSARAY,FATİH,670,4,1
3,M1,EMNİYET,FATİH,1816,2,4
4,M1,ULUBATLI,FATİH,1738,2,4
5,M1,BAYRAMPAŞA,BAYRAMPAŞA,1157,2,3
6,M1,SAĞMACILAR,BAYRAMPAŞA,1157,1,2
7,M1,KOCATEPE,BAYRAMPAŞA,745,2,1
8,M1,OTOGAR,BAYRAMPAŞA,2673,4,2
9,M1,TREZİDERE,ESENLER,1357,4,4
10,M1,DAVUTPAŞA ,GÜNGÖREN,1289,2,2
11,M1,MERTER,GÜNGÖREN,1676,4,2
12,M1,ZEYTİNBURNU,ZEYTİNBURNU,1667,3,5
13,M1,BAKIRKÖY - İNCİRLİ,BAKIRKÖY,2658,6,3
14,M1,BAHÇELİEVLER,BAHÇELİEVLER,2548,7,2
15,M1,ATAKÖY,BAKIRKÖY,1322,4,4
16,M1,YENİBOSNA,BAKIRKÖY,1845,2,1
17,M1,DTM - İSTANBUL FUAR MWERKEZİ,BAKIRKÖY,1132,2,1
18,M1,ATARTÜRK HAVALİMANI,BAKIRKÖY,1109,2,2
19,M1,ESENLER,ESENLER,1540,4,3
20,M1,MENDERES,ESENLER,28400,18,5
21,M1,ÜÇYÜZLÜ,ESENLER,29650,18,2
22,M1,BAĞCILAR MEYDAN,BAĞCILAR,32000,20,9
23,M1,KİRAZLI,BAĞCILAR,10000,10,2
24,M2,YENİKAPI,FATİH,20000,16,5
25,M2,HALİÇ,BEYOĞLU,5500,8,6
26,M2,VEZNECİLER,FATİH,16000,19,10
27,M2,ŞİŞHANE,BEYOĞLU,20000,30,5
28,M2,TAKSİM,BEYOĞLU,11000,28,8
29,M2,OSMANBEY,ŞİŞLİ,6200,15,2
30,M2,ŞİŞLİ-MECİDİYEKÖY,ŞİŞLİ,6100,25,4
31,M2,GAYRETTEPE,ŞİŞLİ,9600,18,11
32,M2,LEVENT,BEŞİKTAŞ,15500,24,4
33,M2,4.LEVENT,BEŞİKTAŞ,6600,20,5
34,M2,SANAYI MAHALLESİ,KAĞITHANE,12000,26,4
35,M2,ITU AYAZAGA,SARIYER,15350,20,3
36,M2,ATATÜRK OTO SANAYİ,ŞİŞLİ,9600,15,2
37,M2,DARÜŞŞAFAKA,SARIYER,14800,20,4
38,M2,HACIOSMAN,SARIYER,33400,48,6
39,M2,SEYRANTEPE,SARIYER,15414,14,5
40,M3,KİRAZLI,BAĞCILAR,14147,14,3
41,M3,YENİMAHLLE,BAĞCILAR,27455,18,2
42,M3,MAHMUTBEY,BAĞCILAR,56915,42,3
43,M3,İSTOÇ,BAĞCILAR,21209,20,2
44,M3,İKİTELLİ  SANAYİ,BAŞAKŞEHİR,109510,34,4
45,M3,TURGUT ÖZAL,BAŞAKŞEHİR,14885,13,2
46,M3,SİTELER,BAŞAKŞEHİR,16120,14,2
47,M3,BAŞAK KONUTLARI,BAŞAKŞEHİR,16113,13,2
48,M3,BAŞAKŞEHİR METROKENT,BAŞAKŞEHİR,37442,22,2
49,M3,ZİYA GÖKALP MAH.,BAŞAKŞEHİR,14175,16,3
50,M3,OLİMPİYAT,BAŞAKŞEHİR,23949,18,4
51,M4,KADIKÖY,KADIKÖY,15947,16,6
52,M4,AYRILIKÇEŞMESİ,KADIKÖY,14336,18,3
53,M4,ACIBADEM,KADIKÖY,10243,10,4
54,M4,ÜNALAN,ÜSKÜDAR,12335,27,7
55,M4,GÖZTEPE,ÜSKÜDAR,11199,14,3
56,M4,YENİSAHRA,KADIKÖY,13330,14,3
57,M4,KOZYATAĞI,ATAŞEHİR,11053,18,5
58,M4,BOSTANCI,KADIKÖY,14859,22,9
59,M4,KÜÇÜKYALI,MALTEPE,8796,10,3
60,M4,MALTEPE,MALTEPE,9285,28,8
61,M4,HUZUREVİ,MALTEPE,8258,10,4
62,M4,GÜLSUYU,MALTEPE,14680,16,3
63,M4,ESENKENT,MALTEPE,13795,20,5
64,M4,HASTANE - ADLİYE,KARTAL,11409,30,7
65,M4,SOĞANLIK,KARTAL,13334,18,3
66,M4,KARTAL,KARTAL,10197,20,5
67,M4,YAKACIK - ADNAN KAHVECİ,KARTAL,5390,18,5
68,M4,PENDİK,PENDİK,4089,29,9
69,M4,TAVŞANTEPE,PENDİK,9250,18,4
70,M5,ÜSKÜDAR,ÜSKÜDAR,9318.59000000000014551915228366851806640625,14,4
71,M5,FISTIKAĞACI,ÜSKÜDAR,6800.280000000000654836185276508331298828125,8,4
72,M5,BAĞLARBAŞI,ÜSKÜDAR,7432.829999999999927240423858165740966796875,18,4
73,M5,ALTUNİZADE,ÜSKÜDAR,12336.43999999999869032762944698333740234375,32,9
74,M5,KISIKLI,ÜSKÜDAR,6904.22999999999956344254314899444580078125,4,10
